hand_type: right; palm_pos: 139.826,12.4398,-126.908; palm_vel: 0,0,0; palm_norm: 0.0629798,-0.0296205,-0.997575; palm_dir: -0.220016,0.974556,-0.0428273; finger_type: 0; finger_1_pos: 121.174,-26.4021,-141.592; finger_1_dir: 25.8126,-31.6117,-20.467; finger_2_pos: 101.421,0.948584,-159.44; finger_2_dir: 13.6936,-23.0897,-15.2284; finger_3_pos: 93.4893,19.1409,-171.593; finger_3_dir: 2.16891,-13.2951,-9.07785; finger_type: 1; finger_1_pos: 111.552,43.4153,-138.579; finger_1_dir: 0.753395,-28.3035,-26.2332; finger_2_pos: 110.967,65.3994,-158.955; finger_2_dir: 0.416969,-15.6646,-14.5188; finger_3_pos: 110.46,77.0786,-170.52; finger_3_dir: 0.596642,-7.69371,-8.61032; finger_type: 2; finger_1_pos: 132.301,50.8162,-137.548; finger_1_dir: -0.220673,-33.1974,-26.8989; finger_2_pos: 132.377,75.8243,-160.241; finger_2_dir: 0.0691528,-16.8187,-18.4882; finger_3_pos: 132.254,87.2728,-175.015; finger_3_dir: 0.176422,-6.07842,-11.0599; finger_type: 3; finger_1_pos: 153.906,47.7868,-137.45; finger_1_dir: -2.20288,-29.5533,-26.6382; finger_2_pos: 155.473,70.8703,-159.879; finger_2_dir: -0.929581,-16.6138,-18.2203; finger_3_pos: 155.039,76.8962,-175.021; finger_3_dir: 1.79691,4.56197,-12.064; finger_type: 4; finger_1_pos: 172.802,39.9389,-138.048; finger_1_dir: -1.65291,-20.6506,-24.33; finger_2_pos: 174.081,55.928,-156.886; finger_2_dir: -0.906677,-11.3276,-13.3458; finger_3_pos: 172.226,58.4278,-167.911; finger_3_dir: 4.61842,6.32795,-8.70486; arm_pos: 183.302,-140.41,-27.3585; arm_dir: 43.4535,-176.199,-170.633
hand_type: right; palm_pos: 148.22,17.1588,-146.286; palm_vel: -368.711,851.139,-207.263; palm_norm: 0.00405051,-0.12662,-0.991943; palm_dir: -0.0739441,0.989198,-0.126572; finger_type: 0; finger_1_pos: 117.858,-21.0327,-152.503; finger_1_dir: 32.6238,-29.1614,-13.7052; finger_2_pos: 93.3253,5.03743,-165.932; finger_2_dir: 16.4407,-22.9789,-13.1529; finger_3_pos: 84.2415,23.1611,-177.292; finger_3_dir: 1.72701,-13.2685,-9.56703; finger_type: 1; finger_1_pos: 119.849,55.0275,-154.652; finger_1_dir: 7.7712,-34.0879,-17.4736; finger_2_pos: 113.974,80.5645,-169.985; finger_2_dir: 3.97874,-16.9861,-13.1926; finger_3_pos: 111.08,92.8096,-181.107; finger_3_dir: 1.80985,-7.50415,-9.05229; finger_type: 2; finger_1_pos: 142.11,60.2124,-153.584; finger_1_dir: 3.68533,-39.9067,-17.6399; finger_2_pos: 138.855,90.3438,-170.161; finger_2_dir: 2.82343,-20.3561,-15.515; finger_3_pos: 136.611,104.701,-182.87; finger_3_dir: 1.66626,-8.35734,-9.90152; finger_type: 3; finger_1_pos: 165.02,53.3947,-155.836; finger_1_dir: -1.80127,-35.0266,-20.4628; finger_2_pos: 165.87,80.1826,-174.511; finger_2_dir: 0.10141,-18.5492,-16.8871; finger_3_pos: 165.286,92.4948,-188.694; finger_3_dir: 1.06615,-6.07523,-11.4783; finger_type: 4; finger_1_pos: 185.967,41.8835,-157.924; finger_1_dir: -7.56296,-25.5967,-18.1103; finger_2_pos: 190.787,60.6092,-173.534; finger_2_dir: -2.07605,-11.8547,-13.1109; finger_3_pos: 189.587,65.3616,-185.626; finger_3_dir: 4.47556,2.34985,-11.0717; arm_pos: 207.787,-142.381,-59.292; arm_dir: 88.8206,-186.439,-139.289
hand_type: right; palm_pos: 144.203,17.361,-154.683; palm_vel: 176.585,369.08,-8.88854; palm_norm: -0.048178,-0.255864,-0.965512; palm_dir: -0.0259352,0.966628,-0.254866; finger_type: 0; finger_1_pos: 108.268,-20.8212,-150.239; finger_1_dir: 37.3207,-25.9272,-6.98781; finger_2_pos: 78.975,2.65547,-158.423; finger_2_dir: 21.2659,-21.0262,-9.38083; finger_3_pos: 65.566,19.6022,-167.523; finger_3_dir: 5.55217,-12.8672,-8.81976; finger_type: 1; finger_1_pos: 114.675,57.7083,-161.073; finger_1_dir: 12.3942,-36.4684,-9.41757; finger_2_pos: 104.956,84.92,-171.378; finger_2_dir: 7.04421,-17.9549,-11.1933; finger_3_pos: 99.6507,97.725,-181.33; finger_3_dir: 3.56571,-7.6552,-8.70964; finger_type: 2; finger_1_pos: 138.617,62.16,-161.776; finger_1_dir: 5.20952,-42.6547,-11.4493; finger_2_pos: 133.839,94.4605,-174.344; finger_2_dir: 4.34717,-21.9464,-13.687; finger_3_pos: 130.391,110.17,-185.709; finger_3_dir: 2.54698,-9.47306,-9.04358; finger_type: 3; finger_1_pos: 162.091,54.6637,-163.745; finger_1_dir: -1.96843,-38.9396,-13.2992; finger_2_pos: 162.73,84.3737,-178.021; finger_2_dir: 0.690445,-20.4803,-15.2542; finger_3_pos: 161.89,99.0193,-190.586; finger_3_dir: 0.989243,-8.81097,-9.87556; finger_type: 4; finger_1_pos: 182.684,40.9529,-167.316; finger_1_dir: -8.19272,-28.2507,-14.0426; finger_2_pos: 187.562,61.3799,-180.73; finger_2_dir: -1.56149,-12.6034,-12.7858; finger_3_pos: 187.058,68.9944,-192.958; finger_3_dir: 2.56844,-2.62549,-11.67; arm_pos: 222.017,-143.56,-84.4819; arm_dir: 127.487,-191.809,-94.9008
hand_type: right; palm_pos: 131.12,17.2106,-151.908; palm_vel: 575.412,-122.015,6.615; palm_norm: -0.0960636,-0.293362,-0.951163; palm_dir: -0.0281188,0.956001,-0.292014; finger_type: 0; finger_1_pos: 94.5754,-20.7867,-143.312; finger_1_dir: 37.9925,-25.564,-4.41302; finger_2_pos: 64.9851,2.64466,-150.058; finger_2_dir: 21.1881,-21.2988,-9.07909; finger_3_pos: 51.8442,19.6591,-159.265; finger_3_dir: 5.09377,-12.73,-9.33414; finger_type: 1; finger_1_pos: 100.836,57.8249,-157.133; finger_1_dir: 14.0821,-36.4728,-7.55083; finger_2_pos: 89.657,84.979,-166.301; finger_2_dir: 8.27536,-17.8353,-10.7839; finger_3_pos: 83.3616,97.8313,-175.825; finger_3_dir: 4.31535,-7.86936,-8.26398; finger_type: 2; finger_1_pos: 125.282,62.283,-158.835; finger_1_dir: 6.10381,-43.2132,-9.38786; finger_2_pos: 119.608,95.0005,-170.097; finger_2_dir: 5.24361,-22.2217,-13.1361; finger_3_pos: 115.459,110.947,-181.049; finger_3_dir: 3.05499,-9.67197,-8.7679; finger_type: 3; finger_1_pos: 148.914,54.933,-160.927; finger_1_dir: -1.61247,-40.2166,-10.0607; finger_2_pos: 149.079,85.9187,-172.819; finger_2_dir: 1.28242,-21.7549,-13.7251; finger_3_pos: 147.732,101.562,-184.32; finger_3_dir: 1.41049,-9.5312,-9.27505; finger_type: 4; finger_1_pos: 169.941,40.9624,-164.93; finger_1_dir: -9.04884,-29.6443,-10.905; finger_2_pos: 175.529,62.8383,-176.055; finger_2_dir: -2.12866,-14.1077,-11.3455; finger_3_pos: 176.311,73.3763,-186.812; finger_3_dir: 0.565628,-6.96815,-10.1685; arm_pos: 210.77,-142.963,-81.9123; arm_dir: 130.337,-191.727,-91.1188
hand_type: right; palm_pos: 113.909,17.8456,-143.867; palm_vel: 755.559,-353.017,-27.8765; palm_norm: -0.11997,-0.296322,-0.947523; palm_dir: -0.045856,0.955052,-0.292871; finger_type: 0; finger_1_pos: 78.5303,-20.4571,-134.877; finger_1_dir: 37.8682,-25.5582,-4.94675; finger_2_pos: 49.6837,3.21506,-142.669; finger_2_dir: 19.8249,-21.7862,-10.6363; finger_3_pos: 38.2455,20.3616,-153.187; finger_3_dir: 3.05151,-12.5069,-10.3993; finger_type: 1; finger_1_pos: 83.6223,58.0619,-148.914; finger_1_dir: 13.8428,-36.1358,-8.45059; finger_2_pos: 72.7739,84.9109,-158.749; finger_2_dir: 7.85394,-17.5622,-11.2186; finger_3_pos: 66.8329,97.61,-168.517; finger_3_dir: 4.02821,-7.8361,-8.31754; finger_type: 2; finger_1_pos: 108.026,62.7075,-151.111; finger_1_dir: 5.63159,-42.8758,-10.2263; finger_2_pos: 102.767,95.0397,-163.079; finger_2_dir: 4.88696,-21.7886,-13.7108; finger_3_pos: 98.8797,110.495,-174.573; finger_3_dir: 2.88686,-9.12254,-9.27771; finger_type: 3; finger_1_pos: 131.656,55.6599,-153.304; finger_1_dir: -2.13844,-40.1279,-9.86659; finger_2_pos: 132.257,86.5644,-165.086; finger_2_dir: 0.935089,-21.6809,-13.6973; finger_3_pos: 131.147,102.069,-176.645; finger_3_dir: 1.28477,-9.32822,-9.42067; finger_type: 4; finger_1_pos: 152.799,42.0963,-157.14; finger_1_dir: -9.83904,-29.9499,-9.39281; finger_2_pos: 159.1,64.4017,-167.107; finger_2_dir: -2.76341,-14.661,-10.5409; finger_3_pos: 160.804,76.0014,-176.837; finger_3_dir: -0.643433,-8.53819,-8.91971; arm_pos: 194.081,-140.408,-69.7006; arm_dir: 129.212,-188.483,-99.1363
hand_type: right; palm_pos: 101.991,19.8898,-139.252; palm_vel: 524.19,-202.978,-89.9149; palm_norm: -0.152184,-0.262555,-0.952841; palm_dir: -0.0656724,0.964625,-0.255313; finger_type: 0; finger_1_pos: 67.96,-18.7592,-131.985; finger_1_dir: 37.4755,-25.9119,-5.77072; finger_2_pos: 39.5835,5.20308,-140.4; finger_2_dir: 19.2775,-22.0128,-11.0606; finger_3_pos: 28.7514,22.4759,-151.185; finger_3_dir: 2.38656,-12.5329,-10.5089; finger_type: 1; finger_1_pos: 72.143,59.5993,-143.8; finger_1_dir: 12.6154,-35.6821,-10.8636; finger_2_pos: 62.3164,86.3359,-154.766; finger_2_dir: 7.03773,-17.7911,-11.0686; finger_3_pos: 56.9775,99.3688,-164.268; finger_3_dir: 3.64025,-8.2747,-7.93471; finger_type: 2; finger_1_pos: 96.2245,64.4626,-146.335; finger_1_dir: 4.85349,-42.2981,-11.9723; finger_2_pos: 91.6374,96.455,-159.219; finger_2_dir: 4.32075,-21.6868,-13.796; finger_3_pos: 88.1674,111.918,-170.681; finger_3_dir: 2.6194,-9.23926,-9.12811; finger_type: 3; finger_1_pos: 119.745,57.7511,-148.95; finger_1_dir: -2.8375,-39.6813,-10.5786; finger_2_pos: 120.913,88.3375,-161.1; finger_2_dir: 0.502289,-21.4915,-13.7213; finger_3_pos: 120.12,103.745,-172.628; finger_3_dir: 1.08322,-9.32378,-9.33411; finger_type: 4; finger_1_pos: 140.7,44.6428,-153.192; finger_1_dir: -10.4504,-29.7483,-8.87035; finger_2_pos: 147.38,66.808,-162.832; finger_2_dir: -2.90947,-14.5822,-10.4094; finger_3_pos: 149.353,78.5636,-172.236; finger_3_dir: -1.03671,-8.92908,-8.39896; arm_pos: 183.219,-136.853,-63.4039; arm_dir: 128.781,-184.537,-106.824
hand_type: right; palm_pos: 94.1651,21.9843,-138.827; palm_vel: 344.109,-18.6724,-92.0942; palm_norm: -0.181789,-0.231229,-0.955765; palm_dir: -0.0819782,0.97214,-0.219598; finger_type: 0; finger_1_pos: 60.7654,-17.1861,-132.219; finger_1_dir: 37.9049,-25.5408,-4.39641; finger_2_pos: 31.7939,6.53782,-139.326; finger_2_dir: 20.038,-21.9071,-9.81705; finger_3_pos: 20.4362,23.8878,-149.288; finger_3_dir: 2.67748,-12.7928,-10.1065; finger_type: 1; finger_1_pos: 64.5114,61.4549,-141.974; finger_1_dir: 11.9476,-35.7574,-11.162; finger_2_pos: 55.0949,88.5076,-152.621; finger_2_dir: 6.88531,-18.3481,-10.1309; finger_3_pos: 49.799,102.052,-161.36; finger_3_dir: 3.70641,-8.74063,-7.34842; finger_type: 2; finger_1_pos: 88.4074,66.4736,-145.12; finger_1_dir: 4.38727,-42.1927,-12.2482; finger_2_pos: 84.0709,98.5517,-157.876; finger_2_dir: 4.2858,-21.9635,-13.2623; finger_3_pos: 80.5629,114.297,-168.881; finger_3_dir: 2.73016,-9.52794,-8.74846; finger_type: 3; finger_1_pos: 111.86,60.017,-148.323; finger_1_dir: -3.32954,-39.5486,-10.405; finger_2_pos: 113.256,90.6227,-160.153; finger_2_dir: 0.538269,-21.6629,-13.2552; finger_3_pos: 112.388,106.262,-171.251; finger_3_dir: 1.19682,-9.61661,-8.94164; finger_type: 4; finger_1_pos: 132.424,47.2309,-153.403; finger_1_dir: -10.5024,-29.6535,-8.5766; finger_2_pos: 139.056,69.4281,-162.692; finger_2_dir: -2.7619,-14.7408,-10.0019; finger_3_pos: 140.733,81.212,-171.918; finger_3_dir: -0.5923,-8.82707,-8.45079; arm_pos: 175.411,-135.432,-64.4622; arm_dir: 126.87,-184.914,-108.446
hand_type: right; palm_pos: 88.7266,23.5344,-140.475; palm_vel: 239.142,72.4434,-68.1597; palm_norm: -0.205501,-0.212725,-0.955258; palm_dir: -0.0896006,0.976081,-0.198087; finger_type: 0; finger_1_pos: 55.3231,-16.0326,-133.516; finger_1_dir: 38.4852,-24.9679,-2.27; finger_2_pos: 25.7944,7.3866,-139.05; finger_2_dir: 20.5722,-21.8706,-8.79729; finger_3_pos: 14.1465,24.7509,-148.463; finger_3_dir: 2.72363,-12.8579,-10.0282; finger_type: 1; finger_1_pos: 59.1376,63.0501,-142.205; finger_1_dir: 11.8312,-36.0885,-10.3556; finger_2_pos: 49.6483,90.3907,-152.164; finger_2_dir: 7.14751,-18.5925,-9.56175; finger_3_pos: 44.0613,104.079,-160.523; finger_3_dir: 4.02635,-8.78425,-7.15556; finger_type: 2; finger_1_pos: 83.0522,68.1189,-145.92; finger_1_dir: 4.09795,-42.4116,-11.6626; finger_2_pos: 78.7739,100.489,-158.057; finger_2_dir: 4.45866,-22.3282,-12.6119; finger_3_pos: 75.0372,116.488,-168.619; finger_3_dir: 3.01472,-9.66964,-8.51071; finger_type: 3; finger_1_pos: 106.364,61.6941,-149.797; finger_1_dir: -3.53028,-39.5904,-10.021; finger_2_pos: 107.728,92.4453,-161.195; finger_2_dir: 0.802414,-21.9121,-12.7742; finger_3_pos: 106.594,108.322,-171.899; finger_3_dir: 1.466,-9.8416,-8.63469; finger_type: 4; finger_1_pos: 126.674,48.9794,-155.614; finger_1_dir: -10.5506,-29.5711,-8.45078; finger_2_pos: 133.23,71.1865,-164.723; finger_2_dir: -2.56183,-14.843,-9.76691; finger_3_pos: 134.636,83.0318,-173.801; finger_3_dir: -0.25116,-8.84775,-8.38965; arm_pos: 170.145,-134.702,-68.1308; arm_dir: 126.238,-185.943,-107.42
hand_type: right; palm_pos: 84.3442,24.6905,-142.219; palm_vel: 192.318,76.5374,-50.7377; palm_norm: -0.218694,-0.206806,-0.953627; palm_dir: -0.0949093,0.977158,-0.190143; finger_type: 0; finger_1_pos: 50.9422,-15.0521,-134.773; finger_1_dir: 38.7317,-24.71,-1.01419; finger_2_pos: 21.3969,8.34082,-139.726; finger_2_dir: 20.3588,-22.0759,-8.89189; finger_3_pos: 10.1082,25.7149,-149.378; finger_3_dir: 2.21878,-12.6722,-10.4122; finger_type: 1; finger_1_pos: 54.6786,64.2787,-142.978; finger_1_dir: 11.9439,-36.4151,-9.31812; finger_2_pos: 44.9779,91.8382,-152.251; finger_2_dir: 7.45757,-18.704,-9.22905; finger_3_pos: 39.0948,105.555,-160.419; finger_3_dir: 4.30863,-8.72964,-7.10736; finger_type: 2; finger_1_pos: 78.5766,69.383,-147.133; finger_1_dir: 4.15684,-42.641,-11.0108; finger_2_pos: 74.1231,101.966,-158.756; finger_2_dir: 4.75027,-22.5244,-12.2358; finger_3_pos: 70.1028,118.083,-169.073; finger_3_dir: 3.29029,-9.71082,-8.39838; finger_type: 3; finger_1_pos: 101.789,62.9459,-151.614; finger_1_dir: -3.3687,-39.6255,-9.99483; finger_2_pos: 102.921,93.7453,-162.949; finger_2_dir: 1.10582,-21.9732,-12.6754; finger_3_pos: 101.494,109.626,-173.616; finger_3_dir: 1.74839,-9.78761,-8.65869; finger_type: 4; finger_1_pos: 122.058,50.2542,-157.797; finger_1_dir: -10.4916,-29.5091,-8.57172; finger_2_pos: 128.512,72.4505,-166.923; finger_2_dir: -2.41718,-14.8836,-9.68076; finger_3_pos: 129.76,84.3384,-175.925; finger_3_dir: -0.0784454,-8.89205,-8.32286; arm_pos: 165.685,-134.529,-71.6328; arm_dir: 125.466,-187.692,-105.261
hand_type: right; palm_pos: 80.2634,25.6895,-143.82; palm_vel: 179.101,70.2718,-43.8423; palm_norm: -0.228461,-0.204614,-0.951808; palm_dir: -0.100783,0.977382,-0.185921; finger_type: 0; finger_1_pos: 47.0285,-14.195,-135.97; finger_1_dir: 38.8619,-24.5427,-0.249969; finger_2_pos: 17.5547,9.18738,-140.691; finger_2_dir: 20.0856,-22.2222,-9.19101; finger_3_pos: 6.61573,26.5244,-150.669; finger_3_dir: 1.79242,-12.4518,-10.7668; finger_type: 1; finger_1_pos: 50.4068,65.1959,-144.045; finger_1_dir: 12.2339,-36.4668,-8.86989; finger_2_pos: 40.4101,92.7136,-153.135; finger_2_dir: 7.75956,-18.5686,-9.31029; finger_3_pos: 34.2807,106.305,-161.366; finger_3_dir: 4.49911,-8.61338,-7.15202; finger_type: 2; finger_1_pos: 74.3244,70.4082,-148.463; finger_1_dir: 4.32468,-42.7244,-10.6963; finger_2_pos: 69.6445,102.996,-159.953; finger_2_dir: 5.0351,-22.4514,-12.2844; finger_3_pos: 65.3874,119.025,-170.322; finger_3_dir: 3.47924,-9.60676,-8.45364; finger_type: 3; finger_1_pos: 97.5354,64.028,-153.312; finger_1_dir: -3.2603,-39.632,-9.99335; finger_2_pos: 98.5532,94.8269,-164.647; finger_2_dir: 1.22459,-21.9659,-12.6757; finger_3_pos: 97.0041,110.658,-175.353; finger_3_dir: 1.8737,-9.69598,-8.7359; finger_type: 4; finger_1_pos: 117.851,51.3965,-159.645; finger_1_dir: -10.5957,-29.4766,-8.44655; finger_2_pos: 124.377,73.6139,-168.626; finger_2_dir: -2.45676,-14.9581,-9.51427; finger_3_pos: 125.677,85.6124,-177.456; finger_3_dir: -0.143394,-9.03891,-8.14658; arm_pos: 162.642,-133.251,-73.8823; arm_dir: 126.695,-187.19,-104.681
hand_type: right; palm_pos: 77.073,26.5484,-145.17; palm_vel: 140.585,59.4868,-37.8463; palm_norm: -0.229191,-0.212379,-0.94993; palm_dir: -0.105342,0.975587,-0.192699; finger_type: 0; finger_1_pos: 43.9793,-13.4398,-136.874; finger_1_dir: 38.9955,-24.3371,-0.221954; finger_2_pos: 14.5109,9.8143,-141.802; finger_2_dir: 19.9412,-22.1711,-9.63564; finger_3_pos: 3.78158,27.0169,-152.15; finger_3_dir: 1.51749,-12.2341,-11.0594; finger_type: 1; finger_1_pos: 46.9114,65.9171,-145.481; finger_1_dir: 12.6692,-36.3466,-8.79298; finger_2_pos: 36.5588,93.2975,-154.577; finger_2_dir: 8.03605,-18.4141,-9.39748; finger_3_pos: 30.2195,106.755,-162.876; finger_3_dir: 4.64239,-8.5007,-7.20058; finger_type: 2; finger_1_pos: 70.9507,71.2386,-150.019; finger_1_dir: 4.48825,-42.6905,-10.787; finger_2_pos: 66.1431,103.791,-161.573; finger_2_dir: 5.12711,-22.4151,-12.3204; finger_3_pos: 61.8101,119.77,-171.985; finger_3_dir: 3.53881,-9.54225,-8.50502; finger_type: 3; finger_1_pos: 94.2046,64.9004,-154.939; finger_1_dir: -3.15181,-39.5772,-10.2465; finger_2_pos: 95.1719,95.6702,-166.404; finger_2_dir: 1.21706,-21.9626,-12.6831; finger_3_pos: 93.6289,111.497,-177.117; finger_3_dir: 1.869,-9.69187,-8.74187; finger_type: 4; finger_1_pos: 114.634,52.2818,-161.2; finger_1_dir: -10.6727,-29.3977,-8.61145; finger_2_pos: 121.236,74.4412,-170.28; finger_2_dir: -2.5317,-14.9211,-9.54951; finger_3_pos: 122.629,86.437,-179.109; finger_3_dir: -0.254051,-9.07049,-8.10806; arm_pos: 159.022,-132.373,-74.3131; arm_dir: 125.415,-187.488,-105.683
