hand_type: right; palm_pos: 153.134,-19.2044,-113.867; palm_vel: 0,0,0; palm_norm: 0.24346,-0.297532,-0.923148; palm_dir: 0.107201,0.954209,-0.279271; finger_type: 0; finger_1_pos: 120.67,-49.9787,-115.25; finger_1_dir: 23.0132,-38.2317,-10.4729; finger_2_pos: 112.655,-17.1925,-126.964; finger_2_dir: -6.98293,-27.3406,-12.9559; finger_3_pos: 120.826,2.19862,-136.904; finger_3_dir: -9.35956,-11.4416,-6.92299; finger_type: 1; finger_1_pos: 131.297,22.4024,-121.147; finger_1_dir: 2.62027,-38.1351,5.5974; finger_2_pos: 130.317,51.8098,-121.096; finger_2_dir: -0.659973,-20.6797,-5.49588; finger_3_pos: 131.266,67.0299,-126.938; finger_3_dir: -1.23711,-9.76054,-6.18803; finger_type: 2; finger_1_pos: 152.077,25.5429,-115.162; finger_1_dir: -0.649521,-42.7131,1.80807; finger_2_pos: 152.916,58.9919,-117.481; finger_2_dir: -1.02924,-24.1848,-6.44765; finger_3_pos: 153.87,76.0991,-124.549; finger_3_dir: -0.879166,-10.0297,-7.688; finger_type: 3; finger_1_pos: 172.607,17.3073,-111.942; finger_1_dir: -3.88715,-39.4474,-2.19253; finger_2_pos: 175.848,48.456,-117.175; finger_2_dir: -2.59523,-22.85,-8.27247; finger_3_pos: 177.752,63.7404,-126.341; finger_3_dir: -1.21121,-7.71874,-10.0603; finger_type: 4; finger_1_pos: 190.652,3.36004,-111.321; finger_1_dir: -4.50764,-30.8254,-4.7828; finger_2_pos: 194.194,26.7935,-116.383; finger_2_dir: -2.57648,-16.0416,-5.34209; finger_3_pos: 196.077,39.4939,-122.57; finger_3_dir: -1.1895,-9.35923,-7.03027; arm_pos: 191.09,-204.704,-101.219; arm_dir: 71.281,-238.271,17.9323
hand_type: right; palm_pos: 131.043,-18.4747,-106.598; palm_vel: 977.531,-321.672,-32.2918; palm_norm: 0.242856,-0.267175,-0.932544; palm_dir: 0.0953176,0.963244,-0.251148; finger_type: 0; finger_1_pos: 98.5377,-50.1204,-110.03; finger_1_dir: 23.7905,-37.2563,-11.7999; finger_2_pos: 87.4622,-17.4045,-122.485; finger_2_dir: -1.6395,-28.1755,-13.1106; finger_3_pos: 94.4021,1.06693,-132.331; finger_3_dir: -12.2403,-8.76744,-6.58133; finger_type: 1; finger_1_pos: 109.152,23.5399,-116.03; finger_1_dir: 2.07605,-38.6034,-0.685806; finger_2_pos: 108.299,53.0807,-119.696; finger_2_dir: -0.370834,-20.4782,-6.64538; finger_3_pos: 108.724,68.6844,-125.326; finger_3_dir: -0.478729,-10.7293,-4.61509; finger_type: 2; finger_1_pos: 129.065,26.3774,-110.84; finger_1_dir: 0.796295,-42.854,-4.82327; finger_2_pos: 128.693,59.5329,-117.981; finger_2_dir: -0.0524139,-23.457,-9.46028; finger_3_pos: 128.785,76.9027,-125.722; finger_3_dir: -0.132339,-11.2825,-6.02074; finger_type: 3; finger_1_pos: 149.628,17.7002,-108.57; finger_1_dir: -2.30998,-38.5303,-10.3534; finger_2_pos: 151.512,48.5263,-117.865; finger_2_dir: -1.45947,-23.1217,-8.23624; finger_3_pos: 152.624,65.3545,-125.57; finger_3_dir: -0.764679,-10.5349,-7.17317; finger_type: 4; finger_1_pos: 167.506,4.2314,-106.268; finger_1_dir: -2.51381,-30.0839,-9.9385; finger_2_pos: 169.438,26.9901,-115.189; finger_2_dir: -1.34923,-15.4335,-7.9026; finger_3_pos: 170.091,37.9537,-124.141; finger_3_dir: 0.0432434,-6.49366,-10.0026; arm_pos: 173.241,-203.709,-83.7628; arm_dir: 77.8017,-236.868,-4.03976
hand_type: right; palm_pos: 105.462,-20.4434,-99.026; palm_vel: 1126,-333.269,86.6565; palm_norm: 0.147675,-0.205085,-0.967539; palm_dir: 0.0941476,0.976738,-0.192665; finger_type: 0; finger_1_pos: 68.7807,-54.151,-103.132; finger_1_dir: 30.608,-32.4902,-10.1835; finger_2_pos: 50.6211,-24.2556,-115.188; finger_2_dir: 5.71115,-27.3005,-13.929; finger_3_pos: 53.0913,-5.85669,-126.272; finger_3_dir: -10.6516,-9.4974,-8.23905; finger_type: 1; finger_1_pos: 83.8516,22.4169,-107.626; finger_1_dir: 1.38749,-38.179,-6.7074; finger_2_pos: 83.1635,51.3917,-115.405; finger_2_dir: -0.0113297,-19.7706,-8.85155; finger_3_pos: 83.3216,66.1917,-123.068; finger_3_dir: -0.304794,-9.82936,-6.4749; finger_type: 2; finger_1_pos: 106.026,24.2349,-103.997; finger_1_dir: -3.30238,-42.2937,-9.37926; finger_2_pos: 108.584,56.63,-114.636; finger_2_dir: -1.81447,-22.4964,-11.9; finger_3_pos: 109.932,73.2517,-124.146; finger_3_dir: -0.880417,-10.7471,-7.11898; finger_type: 3; finger_1_pos: 127.31,14.8622,-102.104; finger_1_dir: -7.4604,-37.9253,-11.2078; finger_2_pos: 133.09,44.6356,-113.426; finger_2_dir: -4.10101,-21.6215,-11.4358; finger_3_pos: 136.086,60.6013,-122.876; finger_3_dir: -1.89029,-10.3099,-7.46519; finger_type: 4; finger_1_pos: 145.766,0.662767,-101.311; finger_1_dir: -9.95447,-28.706,-9.50906; finger_2_pos: 152.875,21.9491,-110.894; finger_2_dir: -4.26419,-13.8667,-9.65724; finger_3_pos: 156.106,32.9827,-119.906; finger_3_dir: -2.1974,-8.20032,-8.3663; arm_pos: 155.511,-198.71,-45.0703; arm_dir: 91.2246,-221.56,-69.0294
hand_type: right; palm_pos: 95.9164,-21.1378,-101.304; palm_vel: 418.914,99.9806,30.4733; palm_norm: 0.101343,-0.12775,-0.986615; palm_dir: 0.0671372,0.990338,-0.121336; finger_type: 0; finger_1_pos: 58.9826,-56.2911,-108.403; finger_1_dir: 32.805,-30.1603,-10.5883; finger_2_pos: 36.8045,-28.2982,-120.266; finger_2_dir: 11.5512,-25.8254,-13.1377; finger_3_pos: 34.1325,-9.25953,-131.39; finger_3_dir: -6.20714,-12.2519,-9.10944; finger_type: 1; finger_1_pos: 74.1061,21.321,-108.878; finger_1_dir: 0.467941,-37.5014,-10.607; finger_2_pos: 73.9168,50.0028,-118.68; finger_2_dir: -0.0892181,-19.8621,-8.99707; finger_3_pos: 74.0725,65.0106,-126.238; finger_3_dir: -0.22229,-10.1536,-6.1176; finger_type: 2; finger_1_pos: 97.0588,23.2302,-105.615; finger_1_dir: -5.24265,-41.8017,-11.5188; finger_2_pos: 101.064,55.3004,-117.55; finger_2_dir: -2.76779,-22.3387,-12.3496; finger_3_pos: 103.113,71.856,-127.318; finger_3_dir: -1.32992,-10.7724,-7.18655; finger_type: 3; finger_1_pos: 118.783,14.1297,-104.287; finger_1_dir: -9.82656,-37.493,-11.6013; finger_2_pos: 126.263,43.4688,-116.178; finger_2_dir: -5.1339,-21.1852,-12.1824; finger_3_pos: 129.92,58.9507,-126.38; finger_3_dir: -2.17943,-9.77861,-8.22137; finger_type: 4; finger_1_pos: 138.079,0.0655117,-104.231; finger_1_dir: -13.8846,-27.6474,-8.37443; finger_2_pos: 147.931,20.6281,-113.281; finger_2_dir: -5.8199,-13.4777,-9.72735; finger_3_pos: 151.884,30.7293,-123.015; finger_3_dir: -2.0849,-6.72468,-9.74024; arm_pos: 154.628,-188.942,-30.9475; arm_dir: 103.658,-199.614,-107.633
hand_type: right; palm_pos: 91.084,-22.1773,-108.681; palm_vel: 212.535,324.456,45.7188; palm_norm: -0.00032018,-0.127996,-0.991775; palm_dir: 0.0753542,0.988952,-0.127656; finger_type: 0; finger_1_pos: 51.9634,-57.4009,-111.814; finger_1_dir: 34.789,-29.0513,-6.72598; finger_2_pos: 26.8108,-30.4129,-120.473; finger_2_dir: 15.5162,-24.9247,-10.5935; finger_3_pos: 20.0392,-11.1928,-130.39; finger_3_dir: -1.97294,-13.5156,-9.23976; finger_type: 1; finger_1_pos: 68.8655,20.8921,-113.603; finger_1_dir: 2.09773,-37.8294,-9.55632; finger_2_pos: 67.2059,49.9966,-122.314; finger_2_dir: 1.22145,-20.3797,-7.86647; finger_3_pos: 66.2666,65.3438,-129.194; finger_3_dir: 0.657341,-10.3146,-5.89383; finger_type: 2; finger_1_pos: 92.7766,22.378,-112.539; finger_1_dir: -5.07658,-42.1032,-10.8989; finger_2_pos: 96.3558,55.0082,-123.524; finger_2_dir: -2.0818,-23.1573,-11.071; finger_3_pos: 97.7279,71.9734,-132.741; finger_3_dir: -0.662483,-10.7731,-7.36205; finger_type: 3; finger_1_pos: 114.863,12.855,-113.089; finger_1_dir: -10.5846,-37.6908,-10.834; finger_2_pos: 122.634,42.3518,-124.665; finger_2_dir: -4.95783,-21.3028,-12.3189; finger_3_pos: 126.046,57.9345,-134.979; finger_3_dir: -1.86655,-9.86262,-8.30936; finger_type: 4; finger_1_pos: 134.244,-2.0257,-115.026; finger_1_dir: -15.6933,-26.9164,-8.10284; finger_2_pos: 145.248,18.3208,-123.661; finger_2_dir: -6.31456,-13.7766,-9.16817; finger_3_pos: 149.359,28.9213,-132.904; finger_3_dir: -1.90829,-7.42423,-9.31665; arm_pos: 153.357,-186.233,-35.0353; arm_dir: 110.279,-192.305,-114.162
hand_type: right; palm_pos: 86.101,-22.4246,-115.429; palm_vel: 219.157,296.78,10.8764; palm_norm: -0.094811,-0.145561,-0.984796; palm_dir: 0.074493,0.985441,-0.152828; finger_type: 0; finger_1_pos: 45.7788,-57.8224,-113.3; finger_1_dir: 36.1589,-28.0933,-2.10685; finger_2_pos: 19.1242,-31.4565,-118.674; finger_2_dir: 17.1503,-24.6386,-8.64178; finger_3_pos: 10.7392,-12.3407,-127.675; finger_3_dir: -0.380351,-13.593,-9.35948; finger_type: 1; finger_1_pos: 63.389,21.181,-117.681; finger_1_dir: 3.8208,-38.3283,-7.19678; finger_2_pos: 60.1884,50.6339,-124.899; finger_2_dir: 2.58038,-20.5774,-7.2403; finger_3_pos: 58.0817,66.0509,-131.472; finger_3_dir: 1.63306,-10.2565,-5.90598; finger_type: 2; finger_1_pos: 87.9273,22.5313,-118.631; finger_1_dir: -4.50244,-42.7728,-8.86784; finger_2_pos: 90.7369,55.8512,-127.991; finger_2_dir: -1.11673,-23.8668,-9.85267; finger_3_pos: 91.221,73.3481,-136.393; finger_3_dir: 0.14846,-11.127,-6.95258; finger_type: 3; finger_1_pos: 110.195,12.7315,-120.732; finger_1_dir: -10.8161,-38.332,-8.54787; finger_2_pos: 117.907,43.0264,-130.439; finger_2_dir: -4.60679,-22.2578,-10.8662; finger_3_pos: 120.897,59.3525,-139.782; finger_3_dir: -1.3741,-10.3945,-7.81897; finger_type: 4; finger_1_pos: 129.29,-2.74792,-124.772; finger_1_dir: -16.316,-26.9256,-7.21137; finger_2_pos: 140.622,17.944,-132.473; finger_2_dir: -6.34885,-14.4583,-8.19102; finger_3_pos: 144.841,29.5516,-140.611; finger_3_dir: -2.08951,-8.75692,-8.08533; arm_pos: 153.671,-186.833,-47.131; arm_dir: 119.32,-193.34,-102.751
hand_type: right; palm_pos: 79.053,-22.0711,-118.081; palm_vel: 309.98,116.634,-15.5449; palm_norm: -0.144097,-0.18553,-0.972016; palm_dir: 0.0630765,0.978548,-0.196127; finger_type: 0; finger_1_pos: 39.0462,-57.3294,-111.467; finger_1_dir: 36.0873,-28.2679,0.62706; finger_2_pos: 12.1783,-30.8424,-114.847; finger_2_dir: 17.6484,-24.7062,-7.38785; finger_3_pos: 3.00869,-11.662,-123.171; finger_3_dir: 0.690893,-13.6547,-9.26049; finger_type: 1; finger_1_pos: 55.8887,21.7268,-119.114; finger_1_dir: 4.74916,-38.6769,-4.83746; finger_2_pos: 51.8371,51.4334,-124.852; finger_2_dir: 3.35413,-20.7362,-6.63868; finger_3_pos: 49.0815,66.9315,-131.073; finger_3_dir: 2.15703,-10.2601,-5.80455; finger_type: 2; finger_1_pos: 80.4999,23.1592,-121.688; finger_1_dir: -3.77597,-43.1721,-7.82553; finger_2_pos: 82.5889,56.8364,-130.284; finger_2_dir: -0.401978,-24.1823,-9.36684; finger_3_pos: 82.4334,74.5151,-138.441; finger_3_dir: 0.712952,-11.175,-6.94655; finger_type: 3; finger_1_pos: 102.929,13.259,-124.704; finger_1_dir: -10.6216,-38.6337,-7.99207; finger_2_pos: 110.487,43.9869,-133.659; finger_2_dir: -4.49313,-22.8222,-9.91768; finger_3_pos: 113.39,60.8549,-142.206; finger_3_dir: -1.31404,-10.9137,-7.17755; finger_type: 4; finger_1_pos: 122.059,-2.47011,-128.965; finger_1_dir: -16.6289,-27.0779,-6.23325; finger_2_pos: 133.619,18.4897,-135.839; finger_2_dir: -6.49217,-14.8418,-7.51309; finger_3_pos: 138.272,30.6839,-143.068; finger_3_dir: -2.81261,-9.54663,-6.94569; arm_pos: 151.007,-186.338,-52.977; arm_dir: 125.866,-194.232,-92.7747
hand_type: right; palm_pos: 72.0065,-21.265,-119.43; palm_vel: 308.893,59.1471,-35.3398; palm_norm: -0.172424,-0.197671,-0.964985; palm_dir: 0.047049,0.976887,-0.208516; finger_type: 0; finger_1_pos: 32.7775,-56.6718,-111.186; finger_1_dir: 35.9158,-28.4533,1.41398; finger_2_pos: 6.00006,-30.089,-114.167; finger_2_dir: 17.6391,-24.7124,-7.37583; finger_3_pos: -3.38431,-10.9805,-122.571; finger_3_dir: 1.12961,-13.5046,-9.43229; finger_type: 1; finger_1_pos: 48.3772,22.4442,-119.549; finger_1_dir: 5.30307,-38.7964,-3.78718; finger_2_pos: 43.8555,52.2275,-124.701; finger_2_dir: 3.7403,-20.7701,-6.51733; finger_3_pos: 40.8164,67.7924,-130.771; finger_3_dir: 2.33783,-10.3599,-5.62291; finger_type: 2; finger_1_pos: 72.8712,24.1025,-123.113; finger_1_dir: -3.05852,-43.3826,-7.47282; finger_2_pos: 74.3167,57.8696,-131.667; finger_2_dir: 0.167488,-24.1516,-9.63348; finger_3_pos: 73.7914,75.5794,-139.91; finger_3_dir: 0.883125,-11.268,-6.85242; finger_type: 3; finger_1_pos: 95.3474,14.3177,-127.012; finger_1_dir: -10.0406,-38.7857,-8.37805; finger_2_pos: 102.469,45.1905,-136.14; finger_2_dir: -4.20216,-22.96,-9.87926; finger_3_pos: 105.141,62.1586,-144.665; finger_3_dir: -1.14208,-10.9762,-7.17094; finger_type: 4; finger_1_pos: 114.596,-1.26144,-131.367; finger_1_dir: -16.3906,-27.3358,-6.05452; finger_2_pos: 125.988,19.8621,-138.191; finger_2_dir: -6.39521,-14.9113,-7.59221; finger_3_pos: 130.699,32.1409,-145.373; finger_3_dir: -3.02629,-9.64629,-6.77251; arm_pos: 144.85,-184.831,-52.7133; arm_dir: 125.585,-193.414,-94.841
hand_type: right; palm_pos: 65.2911,-20.2834,-119.871; palm_vel: 296.251,19.4264,-43.3; palm_norm: -0.19828,-0.201367,-0.959237; palm_dir: 0.0327815,0.976758,-0.211822; finger_type: 0; finger_1_pos: 26.7581,-55.8345,-111.009; finger_1_dir: 35.7823,-28.6337,1.19588; finger_2_pos: 0.017405,-29.2236,-114.238; finger_2_dir: 17.6991,-24.5881,-7.65402; finger_3_pos: -9.52218,-10.2589,-122.882; finger_3_dir: 1.38013,-13.3413,-9.63251; finger_type: 1; finger_1_pos: 41.2963,23.2812,-119.331; finger_1_dir: 5.74899,-38.7965,-3.58038; finger_2_pos: 36.3917,53.0364,-124.433; finger_2_dir: 4.06004,-20.7139,-6.62344; finger_3_pos: 33.113,68.5933,-130.506; finger_3_dir: 2.49747,-10.3999,-5.52337; finger_type: 2; finger_1_pos: 65.5905,25.135,-123.675; finger_1_dir: -2.31916,-43.4536,-7.63216; finger_2_pos: 66.412,58.8922,-132.46; finger_2_dir: 0.676315,-24.0607,-9.93797; finger_3_pos: 65.5341,76.5547,-140.867; finger_3_dir: 1.07938,-11.2643,-6.87608; finger_type: 3; finger_1_pos: 88.0397,15.5049,-128.304; finger_1_dir: -9.33054,-38.876,-8.94725; finger_2_pos: 94.6021,46.4381,-137.802; finger_2_dir: -3.79416,-22.9903,-10.05; finger_3_pos: 96.971,63.4288,-146.43; finger_3_dir: -0.943695,-10.9913,-7.20633; finger_type: 4; finger_1_pos: 107.252,0.159041,-132.998; finger_1_dir: -15.7505,-27.6517,-6.4576; finger_2_pos: 118.156,21.4626,-140.148; finger_2_dir: -6.05668,-14.9555,-7.84126; finger_3_pos: 122.663,33.7829,-147.456; finger_3_dir: -2.95734,-9.68508,-6.77504; arm_pos: 138.585,-183.466,-52.0414; arm_dir: 124.714,-192.929,-96.9569
hand_type: right; palm_pos: 59.405,-19.2793,-120.515; palm_vel: 257.8,28.2098,-43.9806; palm_norm: -0.213524,-0.197356,-0.956796; palm_dir: 0.0203857,0.978269,-0.206334; finger_type: 0; finger_1_pos: 21.4385,-55.0428,-111.748; finger_1_dir: 35.729,-28.7217,0.896751; finger_2_pos: -5.29404,-28.4096,-115.172; finger_2_dir: 17.736,-24.5448,-7.74499; finger_3_pos: -14.7941,-9.4948,-123.912; finger_3_dir: 1.26415,-13.2848,-9.73576; finger_type: 1; finger_1_pos: 35.0795,24.0459,-119.677; finger_1_dir: 6.07248,-38.7167,-4.03274; finger_2_pos: 29.9085,53.6929,-125.168; finger_2_dir: 4.26956,-20.5773,-6.94918; finger_3_pos: 26.4755,69.1594,-131.43; finger_3_dir: 2.59644,-10.3558,-5.57593; finger_type: 2; finger_1_pos: 59.2456,26.1065,-124.412; finger_1_dir: -1.8206,-43.3993,-8.12794; finger_2_pos: 59.6708,59.7602,-133.626; finger_2_dir: 0.970108,-23.9081,-10.2988; finger_3_pos: 58.5911,77.3088,-142.27; finger_3_dir: 1.18926,-11.1891,-6.99036; finger_type: 3; finger_1_pos: 81.6285,16.6979,-129.472; finger_1_dir: -8.71295,-38.8765,-9.55686; finger_2_pos: 87.663,47.5744,-139.481; finger_2_dir: -3.35612,-22.8765,-10.4608; finger_3_pos: 89.6976,64.4554,-148.408; finger_3_dir: -0.712952,-10.8857,-7.39201; finger_type: 4; finger_1_pos: 100.842,1.64123,-134.413; finger_1_dir: -15.1744,-27.8686,-6.88217; finger_2_pos: 111.272,23.0291,-141.953; finger_2_dir: -5.68694,-14.9073,-8.19939; finger_3_pos: 115.461,35.2679,-149.575; finger_3_dir: -2.69086,-9.57035,-7.04298; arm_pos: 132.763,-181.963,-51.2567; arm_dir: 123.39,-191.981,-100.468
hand_type: right; palm_pos: 54.1243,-19.0495,-121.513; palm_vel: 232.427,43.9205,-10.1119; palm_norm: -0.2315,-0.192461,-0.953607; palm_dir: 0.0106068,0.979678,-0.200298; finger_type: 0; finger_1_pos: 16.7012,-54.8434,-112.478; finger_1_dir: 35.4891,-29.002,1.31827; finger_2_pos: -10.0258,-28.0444,-115.329; finger_2_dir: 17.9649,-24.596,-7.01926; finger_3_pos: -19.7483,-9.01249,-123.562; finger_3_dir: 1.48,-13.4678,-9.44843; finger_type: 1; finger_1_pos: 29.5754,24.0997,-120.01; finger_1_dir: 6.36732,-38.6703,-3.86236; finger_2_pos: 24.1673,53.7941,-125.116; finger_2_dir: 4.44878,-20.7185,-6.34785; finger_3_pos: 20.5842,69.4305,-130.844; finger_3_dir: 2.71739,-10.5545,-5.10858; finger_type: 2; finger_1_pos: 53.5673,26.3308,-125.13; finger_1_dir: -1.29003,-43.4232,-7.92715; finger_2_pos: 53.6564,60.1554,-133.816; finger_2_dir: 1.11194,-24.2261,-9.44432; finger_3_pos: 52.4703,78.0011,-141.78; finger_3_dir: 1.26017,-11.4652,-6.48354; finger_type: 3; finger_1_pos: 75.8707,17.0829,-130.79; finger_1_dir: -8.12378,-38.9344,-9.71356; finger_2_pos: 81.5152,48.0902,-140.649; finger_2_dir: -3.16525,-23.0802,-10.0044; finger_3_pos: 83.4418,65.1985,-149.144; finger_3_dir: -0.688034,-11.1363,-6.98622; finger_type: 4; finger_1_pos: 95.0617,2.18785,-136.259; finger_1_dir: -14.7069,-27.9789,-7.31543; finger_2_pos: 105.185,23.6488,-144.01; finger_2_dir: -5.53904,-14.9429,-8.18643; finger_3_pos: 109.24,35.9106,-151.629; finger_3_dir: -2.57263,-9.58075,-7.05154; arm_pos: 127.113,-181.723,-51.5057; arm_dir: 121.551,-191.909,-102.82
